AGLOMERADO,label_aglomerado,empleo_total,ai_exp_prom,wfh_prom
33,Partidos del GBA,122765722,-0.22133371972906982,0.2224907413487944
32,Ciudad de Buenos Aires,35563787,0.31467056278177297,0.3671752322102255
13,Gran Cordoba,15483640,-0.2116731361026025,0.22670953018799198
4,Gran Rosario,13755462,-0.21033930937124468,0.22185098181362428
10,Gran Mendoza,10374047,-0.19770225451208193,0.23302745302773353
2,Gran La Plata,8971170,-0.1671699998362198,0.25144877981355834
29,Gran Tucuman - T. Viejo,7830558,-0.23947249706456425,0.2072110314488444
34,Mar del Plata - Batan,6907295,-0.10494953054593731,0.26542134077088064
23,Salta,5886998,-0.22266487489695086,0.22967920152172636
27,Gran San Juan,5551820,-0.25277315360310676,0.23511452100392305
5,Gran Santa Fe,4842620,-0.1713441472852299,0.24088664813675242
19,Jujuy - Palpala,3865902,-0.155895351899298,0.2560725155474712
8,Gran Resistencia,3778305,-0.10145588724872662,0.2864742920436545
18,S. del Estero - La Banda,3644436,-0.12950209727428333,0.2839477082324947
17,Neuquen - Plottier,3542382,-0.004685644150517929,0.2947939409132047
7,Posadas,3357487,-0.16745487463272382,0.23478713394869435
12,Corrientes,3243425,-0.1707761570657561,0.2585130687467723
3,Bahia Blanca - Cerri,3237146,-0.176406405706261,0.25211189115350374
6,Gran Parana,2779043,-0.0935263651925501,0.2519342989655072
9,Cdro. Rivadavia - R.Tilly,2708691,-0.25139371855043635,0.2150366173181068
26,San Luis - El Chorrillo,2523841,-0.14640726153577027,0.25909774030931426
25,La Rioja,2092953,-0.07786242082540792,0.2957143567007955
22,Gran Catamarca,2035835,-0.04649006230799648,0.30226700592140326
15,Formosa,1993019,-0.30404691299214914,0.21212429485117804
31,Ushuaia - Rio Grande,1905980,-0.3536162070514906,0.19440550268103549
36,Rio Cuarto,1858342,-0.03711321641118804,0.29558418202892683
38,San Nicolas - Villa Constitucion,1790721,-0.2285823086159709,0.23908819408495238
91,Rawson - Trelew,1521720,-0.10059784283974714,0.2831333951055385
14,Concordia,1341392,-0.17069750082213106,0.25787130085761656
30,Santa Rosa - Toay,1252811,-0.028834036657564472,0.28124972561703243
20,Rio Gallegos,1128334,-0.047793655337249434,0.2864103182213777
93,Viedma - Carmen de Patagones,746976,-0.1013997446789455,0.2924491549929315
