ANO4,TRIMESTRE,AGLOMERADO,gini,p90,p10,ratio_p90_p10
2025,1er Trimestre,Gran La Plata,0.4527392836762658,1090000,115600,9.429065743944637
2025,1er Trimestre,Bahia Blanca - Cerri,0.3960638550538249,1115000,150000,7.433333333333334
2025,1er Trimestre,Gran Rosario,0.4192071396935546,1100000,150000,7.333333333333333
2025,1er Trimestre,Gran Santa Fe,0.4008103243721166,982500.0000000002,150000,6.550000000000002
2025,1er Trimestre,Gran Parana,0.3809113100817001,950400,143000,6.6461538461538465
2025,1er Trimestre,Posadas,0.4161634506340022,850000,126000,6.746031746031746
2025,1er Trimestre,Gran Resistencia,0.4126413315817956,547900.0000000007,80666.67,6.792148479663295
2025,1er Trimestre,Cdro. Rivadavia - R.Tilly,0.3958395499979872,1250000,160000,7.8125
2025,1er Trimestre,Gran Mendoza,0.3783901256843478,800000,146000.00000000003,5.479452054794519
2025,1er Trimestre,Corrientes,0.33449575065847625,670000,144400,4.639889196675901
2025,1er Trimestre,Gran Cordoba,0.41741882268854624,1030333.3330000004,146344.90500000003,7.040445535155462
2025,1er Trimestre,Concordia,0.3942002570016996,700000,102500,6.829268292682927
2025,1er Trimestre,Formosa,0.34144960942614944,642640,147575,4.3546671184143655
2025,1er Trimestre,Neuquen - Plottier,0.3998026345269068,1454166.665,161125,9.025084034134988
2025,1er Trimestre,S. del Estero - La Banda,0.37296611691294856,816666.67,135600,6.022615560471976
2025,1er Trimestre,Jujuy - Palpala,0.4149465650856996,825000,136000,6.0661764705882355
2025,1er Trimestre,Rio Gallegos,0.38454012021773565,1245500,240833.33000000002,5.171626369157458
2025,1er Trimestre,Gran Catamarca,0.38800915464173613,733199.9970000001,113750,6.44571425934066
2025,1er Trimestre,Salta,0.38129162597869026,795000,133333.33,5.962500149062504
2025,1er Trimestre,La Rioja,0.31765784675747,600000,150000,4
2025,1er Trimestre,San Luis - El Chorrillo,0.37122906051189375,792500,144000,5.503472222222222
2025,1er Trimestre,Gran San Juan,0.40124176872609496,660000,138333.33,4.771084452315288
2025,1er Trimestre,Gran Tucuman - T. Viejo,0.40317530618870023,781666.665,122000,6.40710381147541
2025,1er Trimestre,Santa Rosa - Toay,0.4907751425691913,1500000,137500,10.909090909090908
2025,1er Trimestre,Ushuaia - Rio Grande,0.42865615570482873,1650000,200000,8.25
2025,1er Trimestre,Ciudad de Buenos Aires,0.42530975120999415,1784000,195000,9.148717948717948
2025,1er Trimestre,Partidos del GBA,0.4486684880162102,1000000,122999.99700000012,8.130081499107671
