ANO4,TRIMESTRE,PROVINCIA,label_provincia,gini,p90,p10,ratio_p90_p10
2025,1,Buenos Aires,Buenos Aires,0.44675058584243743,1000000,123333.33000000002,8.10810832724617
2025,1,Catamarca,Catamarca,0.38800915464173613,733199.9970000001,113750,6.44571425934066
2025,1,Chaco,Chaco,0.4126413315817956,547900.0000000007,80666.67,6.792148479663295
2025,1,Chubut,Chubut,0.4082056032669925,1300000,190600,6.820566631689402
2025,1,Ciudad Autónoma de Buenos Aires,CABA,0.42530975120999415,1784000,195000,9.148717948717948
2025,1,Corrientes,Corrientes,0.33449575065847625,670000,144400,4.639889196675901
2025,1,Córdoba,Córdoba,0.4157832738447951,1031333.3320000002,146373.2,7.045916410927684
2025,1,Entre Ríos,Entre Ríos,0.39057681080578277,827600.0000000006,127500,6.490980392156867
2025,1,Formosa,Formosa,0.34144960942614944,642640,147575,4.3546671184143655
2025,1,Jujuy,Jujuy,0.4149465650856996,825000,136000,6.0661764705882355
2025,1,La Pampa,La Pampa,0.4907751425691913,1500000,137500,10.909090909090908
2025,1,La Rioja,La Rioja,0.31765784675747,600000,150000,4
2025,1,Mendoza,Mendoza,0.3783901256843478,800000,146000.00000000003,5.479452054794519
2025,1,Misiones,Misiones,0.4161634506340022,850000,126000,6.746031746031746
2025,1,Neuquén,Neuquén,0.3998026345269068,1454166.665,161125,9.025084034134988
2025,1,Río Negro,Río Negro,0.3600961162556473,1097500,200000,5.4875
2025,1,Salta,Salta,0.38129162597869026,795000,133333.33,5.962500149062504
2025,1,San Juan,San Juan,0.40124176872609496,660000,138333.33,4.771084452315288
2025,1,San Luis,San Luis,0.37122906051189375,792500,144000,5.503472222222222
2025,1,Santa Cruz,Santa Cruz,0.38454012021773565,1245500,240833.33000000002,5.171626369157458
2025,1,Santa Fe,Santa Fe,0.41632026231650343,1089000,150000,7.26
2025,1,Santiago del Estero,Santiago del Estero,0.37296611691294856,816666.67,135600,6.022615560471976
2025,1,Tierra del Fuego,Tierra del Fuego,0.42865615570482873,1650000,200000,8.25
2025,1,Tucumán,Tucumán,0.40317530618870023,781666.665,122000,6.40710381147541
2024,4,Buenos Aires,Buenos Aires,0.42714339286317227,815600,109000,7.482568807339449
2024,4,Catamarca,Catamarca,0.3669680507447879,543900.0010000004,107500,5.059534893023259
2024,4,Chaco,Chaco,0.3948886384303876,500000,77166.67,6.479481361577479
2024,4,Chubut,Chubut,0.4170970357512829,1000000,140000,7.142857142857143
2024,4,Ciudad Autónoma de Buenos Aires,CABA,0.4161847789091837,1596666.67,193333.33,8.258620849286567
2024,4,Corrientes,Corrientes,0.33129408462573906,590333.3330000001,133333.33,4.427500108187504
2024,4,Córdoba,Córdoba,0.40858416255071006,825000,118644,6.953575402043087
2024,4,Entre Ríos,Entre Ríos,0.3885211354093485,666666.67,118571.43,5.622489920210966
2024,4,Formosa,Formosa,0.3450611409571138,500000,114960,4.349338900487126
