AGLOMERADO,sexo_1,sexo_2,brecha_actividad_pp,label_corta
Gran La Plata,60.25042020540084,48.846377292721385,11.404042912679458,Gran La Plata
Bahia Blanca - Cerri,61.22830747978243,46.29172944522894,14.936578034553492,Bahia Blanca - Cerri
Gran Rosario,65.0717299868518,48.37050590181597,16.70122408503584,Gran Rosario
Gran Santa Fe,60.374519903007126,42.00965701646435,18.364862886542774,Gran Santa Fe
Gran Parana,58.02218492898367,41.456397467004194,16.565787461979475,Gran Parana
Posadas,60.04634965485618,44.992612143155235,15.053737511700945,Posadas
Gran Resistencia,59.54960563364193,42.38225561406065,17.167350019581285,Gran Resistencia
Cdro. Rivadavia - R.Tilly,55.52356588475047,40.478323604025015,15.045242280725454,Cdro. Rivadavia - R.Tilly
Gran Mendoza,65.91158636329006,46.653246410734006,19.25833995255605,Gran Mendoza
Corrientes,57.41510848884124,39.14217156568686,18.272936923154383,Corrientes
Gran Cordoba,65.50358378086621,50.30859479497076,15.19498898589545,Gran Cordoba
Concordia,59.641536355959346,36.46392245204451,23.17761390391484,Concordia
Formosa,56.43182614791448,36.11329070602181,20.31853544189267,Formosa
Neuquen - Plottier,61.39335063226895,45.937538457331165,15.455812174937783,Neuquen - Plottier
S. del Estero - La Banda,59.42488760709136,41.40113733203986,18.023750275051498,S. del Estero - La Banda
Jujuy - Palpala,57.47535982979378,52.38057677489033,5.094783054903452,Jujuy - Palpala
Rio Gallegos,56.10125634128903,47.922013993882075,8.179242347406955,Rio Gallegos
Gran Catamarca,59.50461658681034,42.956371555155066,16.548245031655277,Gran Catamarca
Salta,60.279321810652455,45.05602489388708,15.223296916765378,Salta
La Rioja,60.66634050880626,44.716862055116756,15.949478453689501,La Rioja
San Luis - El Chorrillo,67.71652788823626,45.212032095269215,22.50449579296704,San Luis - El Chorrillo
Gran San Juan,63.12135797126158,43.182170004167745,19.939187967093837,Gran San Juan
Gran Tucuman - T. Viejo,63.37783484219215,45.992210414963694,17.385624427228457,Gran Tucuman - T. Viejo
Santa Rosa - Toay,57.4372476742145,52.89699392122574,4.540253752988754,Santa Rosa - Toay
Ushuaia - Rio Grande,63.92929880709921,53.02435933729661,10.9049394698026,Ushuaia - Rio Grande
Ciudad de Buenos Aires,65.29233972555781,56.035690651576644,9.256649073981166,Ciudad de Buenos Aires
Partidos del GBA,64.67989793319924,47.798237653224746,16.881660279974497,Partidos del GBA
Mar del Plata - Batan,63.83449535484098,49.26312034890319,14.571375005937789,Mar del Plata - Batan
Rio Cuarto,62.67644435115706,47.952402658158,14.724041692999059,Rio Cuarto
San Nicolas - Villa Constitucion,58.6096000956423,39.06534132110624,19.54425877453606,San Nicolas - Villa Constitucion
Rawson - Trelew,60.344159967783405,43.55861004319494,16.785549924588466,Rawson - Trelew
Viedma - Carmen de Patagones.,50.46982003503743,40.08581293795064,10.384007097086787,Viedma - Carmen de Patagones.
