PROVINCIA,label_provincia,cuentapropistas,total_ocupados,tasa_cuentaprop_pct
Formosa,Formosa,31556,100441,31.417449049690866
Entre Ríos,Entre Ríos,53782,182951,29.396942350684064
Misiones,Misiones,46966,166074,28.28016426412322
Mendoza,Mendoza,129524,484830,26.715343522471795
Jujuy,Jujuy,43702,170579,25.619800796112063
San Juan,San Juan,61910,241740,25.610159675684617
Salta,Salta,72125,282752,25.5082192168402
Córdoba,Córdoba,203694,811497,25.101017009305025
Corrientes,Corrientes,38791,155824,24.894111305062122
Buenos Aires,Buenos Aires,1628970.4,6666894.5,24.43372097758559
Santa Fe,Santa Fe,205465.6,890263.4,23.079192068324947
Tucumán,Tucumán,91956,400207,22.97710934591349
La Pampa,La Pampa,13336,58382,22.842656983316775
San Luis,San Luis,25854,116373,22.21649351653734
Chaco,Chaco,37567,169137,22.210988725116326
Catamarca,Catamarca,21212,99305,21.36045516338553
Río Negro,Río Negro,4942,24166.1,20.45013469281349
Chubut,Chubut,32300,170004,18.999552951695254
Ciudad Autónoma de Buenos Aires,CABA,281390,1496716,18.80049388127073
Neuquén,Neuquén,26388,142844,18.473299543558007
Santiago del Estero,Santiago del Estero,31185,180502,17.27681687737532
La Rioja,La Rioja,16899,104649,16.14826706418599
Tierra del Fuego,Tierra del Fuego,13759,85579,16.077542387735306
Santa Cruz,Santa Cruz,6178,57099,10.819804199723288
