AGLOMERADO,no_registrados,total_asalariados,tasa_no_registro_pct,label_corta
Gran La Plata,140830,334148,42.14599518776111,Gran La Plata
Bahia Blanca - Cerri,27512,106697,25.785167343036825,Bahia Blanca - Cerri
Gran Rosario,162974,460090,35.422200004346976,Gran Rosario
Gran Santa Fe,50115,164707,30.42675781842909,Gran Santa Fe
Gran Parana,23767,77540,30.65127676038174,Gran Parana
Posadas,37665,111529,33.77148544324795,Posadas
Gran Resistencia,49059,127268,38.547788917874094,Gran Resistencia
Cdro. Rivadavia - R.Tilly,21319,80233,26.571360911345703,Cdro. Rivadavia - R.Tilly
Gran Mendoza,143560,334465,42.92227886325924,Gran Mendoza
Corrientes,43417,109871,39.51634189185499,Corrientes
Gran Cordoba,226129,523199,43.220457225644545,Gran Cordoba
Concordia,19517,43021,45.36621649891913,Concordia
Formosa,22509,63616,35.382608148893354,Formosa
Neuquen - Plottier,15150,112122,13.51206721250067,Neuquen - Plottier
S. del Estero - La Banda,55676,132464,42.03104239642469,S. del Estero - La Banda
Jujuy - Palpala,48535,122311,39.68163125148188,Jujuy - Palpala
Rio Gallegos,10277,48971,20.985889608135427,Rio Gallegos
Gran Catamarca,29614,75189,39.38608041069837,Gran Catamarca
Salta,86033,196617,43.75664362694986,Salta
La Rioja,31058,85934,36.14169013428911,La Rioja
San Luis - El Chorrillo,35850,86738,41.33136572205954,San Luis - El Chorrillo
Gran San Juan,86459,170496,50.710280593093096,Gran San Juan
Gran Tucuman - T. Viejo,147401,290139,50.80358035286535,Gran Tucuman - T. Viejo
Santa Rosa - Toay,12292,42174,29.145919286764354,Santa Rosa - Toay
Ushuaia - Rio Grande,9179,70188,13.077734085598678,Ushuaia - Rio Grande
Ciudad de Buenos Aires,257422,1173789,21.930858101413456,Ciudad de Buenos Aires
Partidos del GBA,1570897,4087960,38.427406334699945,Partidos del GBA
Mar del Plata - Batan,75244,210787,35.69669856300436,Mar del Plata - Batan
Rio Cuarto,20805,56131,37.06507990237124,Rio Cuarto
San Nicolas - Villa Constitucion,17351,55287,31.383507877077793,San Nicolas - Villa Constitucion
Rawson - Trelew,11467,52924,21.666918600256974,Rawson - Trelew
Viedma - Carmen de Patagones.,6848,26858,25.497058604512624,Viedma - Carmen de Patagones.
