PROVINCIA,label_provincia,no_registrados,total_asalariados,tasa_no_registro_pct
Tucumán,Tucumán,147401,290139,50.80358035286535
San Juan,San Juan,86459,170496,50.710280593093096
Salta,Salta,86033,196617,43.75664362694986
Mendoza,Mendoza,143560,334465,42.92227886325924
Córdoba,Córdoba,246934,579330,42.62406573110317
Santiago del Estero,Santiago del Estero,55676,132464,42.03104239642469
San Luis,San Luis,35850,86738,41.33136572205954
Jujuy,Jujuy,48535,122311,39.68163125148188
Corrientes,Corrientes,43417,109871,39.51634189185499
Catamarca,Catamarca,29614,75189,39.38608041069837
Chaco,Chaco,49059,127268,38.547788917874094
Buenos Aires,Buenos Aires,1827642.04,4783033.08,38.210942919090165
La Rioja,La Rioja,31058,85934,36.14169013428911
Entre Ríos,Entre Ríos,43284,120561,35.90215741408913
Formosa,Formosa,22509,63616,35.382608148893354
Santa Fe,Santa Fe,219335.36,644700.32,34.021289147180816
Misiones,Misiones,37665,111529,33.77148544324795
La Pampa,La Pampa,12292,42174,29.145919286764354
Río Negro,Río Negro,4793.5999999999995,18800.6,25.497058604512624
Chubut,Chubut,32786,133157,24.622062677891513
Ciudad Autónoma de Buenos Aires,CABA,257422,1173789,21.930858101413456
Santa Cruz,Santa Cruz,10277,48971,20.985889608135427
Neuquén,Neuquén,15150,112122,13.51206721250067
Tierra del Fuego,Tierra del Fuego,9179,70188,13.077734085598678
