AGLOMERADO,empleo_total,ai_exp_prom,wfh_prom,label_aglomerado
2,8971170,-0.1671699998362198,0.25144877981355834,Gran La Plata
3,3237146,-0.176406405706261,0.25211189115350374,Bahía Blanca - Cerri
4,13755462,-0.21033930937124468,0.22185098181362428,Gran Rosario
5,4842620,-0.1713441472852299,0.24088664813675242,Gran Santa Fe
6,2779043,-0.0935263651925501,0.2519342989655072,Gran Paraná
7,3357487,-0.16745487463272382,0.23478713394869435,Posadas
8,3778305,-0.10145588724872662,0.2864742920436545,Gran Resistencia
9,2708691,-0.25139371855043635,0.2150366173181068,Comodoro Rivadavia - R. Tilly
10,10374047,-0.19770225451208193,0.23302745302773353,Gran Mendoza
12,3243425,-0.1707761570657561,0.2585130687467723,Corrientes
13,15483640,-0.2116731361026025,0.22670953018799198,Gran Córdoba
14,1341392,-0.17069750082213106,0.25787130085761656,Concordia
15,1993019,-0.30404691299214914,0.21212429485117804,Formosa
17,3542382,-0.004685644150517929,0.2947939409132047,Neuquén - Plottier
18,3644436,-0.12950209727428333,0.2839477082324947,S. del Estero - La Banda
19,3865902,-0.155895351899298,0.2560725155474712,Jujuy - Palpalá
20,1128334,-0.047793655337249434,0.2864103182213777,Río Gallegos
22,2035835,-0.04649006230799648,0.30226700592140326,Gran Catamarca
23,5886998,-0.22266487489695086,0.22967920152172636,Salta
25,2092953,-0.07786242082540792,0.2957143567007955,La Rioja
26,2523841,-0.14640726153577027,0.25909774030931426,San Luis - El Chorrillo
27,5551820,-0.25277315360310676,0.23511452100392305,Gran San Juan
29,7830558,-0.23947249706456425,0.2072110314488444,Gran Tucumán - T. Viejo
30,1252811,-0.028834036657564472,0.28124972561703243,Santa Rosa - Toay
31,1905980,-0.3536162070514906,0.19440550268103549,Ushuaia - Río Grande
32,35563787,0.31467056278177297,0.3671752322102255,Ciudad de Buenos Aires
33,122765722,-0.22133371972906982,0.2224907413487944,Partidos del GBA
34,6907295,-0.10494953054593731,0.26542134077088064,Mar del Plata - Batán
36,1858342,-0.03711321641118804,0.29558418202892683,Río Cuarto
38,1790721,-0.2285823086159709,0.23908819408495238,San Nicolás - Villa Constitución
91,1521720,-0.10059784283974714,0.2831333951055385,Rawson - Trelew
93,746976,-0.1013997446789455,0.2924491549929315,Viedma - Carmen de Patagones
