ANO4,TRIMESTRE,AGLOMERADO,total_ocupados,total_desocupados,pea,pob_10_mas,tasa_actividad,tasa_empleo,tasa_desempleo
2025,1er Trimestre,Gran La Plata,416441,39547,455988,940019,0.48508381213571217,0.44301338589964673,0.08672815951296964
2025,1er Trimestre,Bahia Blanca - Cerri,146228,7387,153615,322277,0.4766551755167139,0.45373389971980627,0.04808775184715034
2025,1er Trimestre,Gran Rosario,633377,48227,681604,1358331,0.5017952178077361,0.4662906169409371,0.07075515988755934
2025,1er Trimestre,Gran Santa Fe,229206,9989,239195,553284,0.43231866455563506,0.41426464528162754,0.041760906373460985
2025,1er Trimestre,Gran Parana,120439,5626,126065,287523,0.43845188037130944,0.41888475008955806,0.04462777138777615
2025,1er Trimestre,Posadas,166074,10610,176684,392133,0.4505716172829117,0.42351447085555155,0.06005071200561454
2025,1er Trimestre,Gran Resistencia,169137,16586,185723,426346,0.43561567365473114,0.3967129983628321,0.08930504030195506
2025,1er Trimestre,Cdro. Rivadavia - R.Tilly,105569,1380,106949,257243,0.4157508659127751,0.41038628845099767,0.012903346454852313
2025,1er Trimestre,Gran Mendoza,484830,35736,520566,1061502,0.4904051052188314,0.45673960105586237,0.06864835582807943
2025,1er Trimestre,Corrientes,155824,7287,163111,393362,0.41465876215801223,0.3961338410929373,0.04467509855251945
2025,1er Trimestre,Gran Cordoba,729061,74001,803062,1606807,0.49978746669637364,0.45373277562271014,0.09214855141944209
2025,1er Trimestre,Concordia,62512,5159,67671,165913,0.407870389903142,0.3767757800775105,0.07623649717013196
2025,1er Trimestre,Formosa,100441,4002,104443,264704,0.3945652502417795,0.3794464760638298,0.03831755120017617
2025,1er Trimestre,Neuquen - Plottier,142844,10232,153076,325163,0.47076696918161043,0.43929967431718864,0.06684261412631634
2025,1er Trimestre,S. del Estero - La Banda,180502,1827,182329,418500,0.4356726403823178,0.43130704898446837,0.01002034783276385
2025,1er Trimestre,Jujuy - Palpala,170579,5439,176018,361755,0.48656687537145304,0.471531837846056,0.030900248838187004
2025,1er Trimestre,Rio Gallegos,57099,3115,60214,132684,0.4538150794368575,0.4303382472641765,0.05173215531271797
2025,1er Trimestre,Gran Catamarca,99305,4332,103637,233980,0.4429310197452774,0.4244166168048551,0.041799743334909344
2025,1er Trimestre,Salta,282752,17715,300467,670374,0.44820801522732084,0.42178246769713623,0.05895822170155125
2025,1er Trimestre,La Rioja,104649,4116,108765,238676,0.45570145301580384,0.4384563173507181,0.03784305613018894
2025,1er Trimestre,San Luis - El Chorrillo,116373,4109,120482,251900,0.4782929734021437,0.46198094481937274,0.034104679537192276
2025,1er Trimestre,Gran San Juan,241740,11443,253183,557486,0.4541513150106012,0.4336252390194552,0.045196557430791165
2025,1er Trimestre,Gran Tucuman - T. Viejo,400207,32965,433172,927180,0.46719299380918483,0.43163894820854637,0.076101410063439
2025,1er Trimestre,Santa Rosa - Toay,58382,6102,64484,133200,0.4841141141141141,0.4383033033033033,0.09462812480615347
2025,1er Trimestre,Ushuaia - Rio Grande,85579,6489,92068,180565,0.5098884058372332,0.47395120870600616,0.07048051440239823
2025,1er Trimestre,Ciudad de Buenos Aires,1496716,112769,1609485,3005632,0.535489707322786,0.4979704767582991,0.07006526932528107
2025,1er Trimestre,Partidos del GBA,5730951,612901,6343852,13090430,0.48461754121140405,0.43779700132081223,0.09661338253162274
2025,1er Trimestre,Mar del Plata - Batan,313708,19957,333665,667636,0.49977083320851484,0.46987879623028117,0.05981148756986798
2025,1er Trimestre,Rio Cuarto,82436,5317,87753,183701,0.4776947322006957,0.44875095943952403,0.06059052112178501
2025,1er Trimestre,San Nicolas - Villa Constitucion,76890,7151,84041,199838,0.4205456419699957,0.3847616569421231,0.08508942063992575
2025,1er Trimestre,Rawson - Trelew,64435,3870,68305,152598,0.4476139923196896,0.4222532405405051,0.05665763853305029
2025,1er Trimestre,Viedma - Carmen de Patagones.,34523,280,34803,86436,0.4026447313619325,0.39940534036743947,0.008045283452575927
2024,4to Trimestre,Gran La Plata,433717,38070,471787,937609,0.5031809634933112,0.4625776843012386,0.08069319417448977
2024,4to Trimestre,Bahia Blanca - Cerri,145232,6741,151973,321889,0.47212859091177395,0.45118658916583043,0.04435656333690853
2024,4to Trimestre,Gran Rosario,638785,41003,679788,1356411,0.50116668178008,0.47093764353134854,0.06031733422772982
2024,4to Trimestre,Gran Santa Fe,231982,12442,244424,552260,0.4425886357874914,0.42005939231521383,0.050903348280037966
2024,4to Trimestre,Gran Parana,125620,6670,132290,287133,0.46072725879644627,0.43749760563919854,0.05041953284450828
2024,4to Trimestre,Posadas,175178,8163,183341,391057,0.4688344665867124,0.4479602717762372,0.04452359264976192
2024,4to Trimestre,Gran Resistencia,173206,15813,189019,425711,0.4440077893218639,0.40686287176041963,0.08365825657738112
2024,4to Trimestre,Cdro. Rivadavia - R.Tilly,102232,1988,104220,256157,0.40685985547925685,0.3990989900724946,0.019075033582805604
2024,4to Trimestre,Gran Mendoza,490470,24785,515255,1059615,0.4862662382091609,0.4628756671055053,0.0481023959010587
2024,4to Trimestre,Corrientes,165768,3289,169057,392641,0.430563797463841,0.4221871888060595,0.019454976723826876
2024,4to Trimestre,Gran Cordoba,748330,64722,813052,1604514,0.5067278939292521,0.4663904459543513,0.07960376458086321
2024,4to Trimestre,Concordia,68811,2457,71268,165659,0.4302090438792942,0.4153773715886248,0.034475500926081835
2024,4to Trimestre,Formosa,105489,1833,107322,264097,0.40637341582827524,0.3994327841664237,0.017079443171018057
2024,4to Trimestre,Neuquen - Plottier,154018,6199,160217,324293,0.49405013367541084,0.47493470411017197,0.038691274958337754
2024,4to Trimestre,S. del Estero - La Banda,176428,2766,179194,417643,0.42906022607825345,0.4224373448136327,0.015435784680290636
