ANO4,TRIMESTRE,REGION,total_indigentes,total_pobres_no_ind,total_poblacion,tasa_pobreza,tasa_indigencia
2025,1,1,1279636,3767674,16096031,0.3135748185375637,0.07950009539618805
2025,1,40,155407,695736,2850454,0.29859910035383835,0.05452008697561862
2025,1,41,106691,439734,1476575,0.3700624756615817,0.07225572693564498
2025,1,42,79312,581366,1870849,0.35314341242933023,0.04239358708265606
2025,1,43,404134,1574894,6418548,0.3083295474303534,0.06296346151808789
2025,1,44,43773,253072,1134666,0.26161443103080556,0.03857787225491907
2024,4,1,1320379,4581182,16060443,0.36745941565870877,0.08221311205425653
2024,4,40,213044,1029837,2844108,0.43700204071012777,0.07490714136031403
2024,4,41,124288,532118,1473520,0.4454679950051577,0.08434768445626799
2024,4,42,65538,741662,1866948,0.4323634080863527,0.03510435212978615
2024,4,43,423361,1863347,6407831,0.3568614715338154,0.0660693142500169
2024,4,44,39522,333870,1130905,0.3301709692679756,0.03494723252616268
2024,3,1,1433255,4610946,16024707,0.37718012566470016,0.08944032486834237
2024,3,40,246998,932446,2837959,0.41559585603597515,0.08703367455273314
2024,3,41,218110,515636,1470507,0.49897484337034775,0.14832299336215332
2024,3,42,172238,600044,1863205,0.41449115905120476,0.09244178713560773
2024,3,43,594580,1687249,6396987,0.3567037106687883,0.09294688264959738
2024,3,44,62441,315789,1126918,0.33563222878683274,0.05540864552700374
2024,2,1,2705079,5359170,15989101,0.5043591256318913,0.1691826826286231
2024,2,40,434301,1121961,2831451,0.549634092202196,0.1533846073974086
2024,2,41,325567,578266,1467485,0.6159061251051969,0.22185371571089313
2024,2,42,222253,737490,1859274,0.5161923417419918,0.11953751840772259
2024,2,43,881950,2183495,6386056,0.48002162837281726,0.13810558504341333
2024,2,44,103422,467662,1122842,0.5086058412492586,0.09210734903040677
2024,1,1,3508893,5275754,15953658,0.5506352837700295,0.2199428494706355
2024,1,40,561914,1104077,2825303,0.5896680816181485,0.19888627874603185
2024,1,41,357521,593966,1464398,0.6497461755615618,0.24414196140666677
2024,1,42,267821,721701,1855331,0.5333398730469119,0.144352139860758
2024,1,43,1125316,2160637,6375470,0.5154056093119409,0.1765071437870463
2024,1,44,149588,383135,1118959,0.47608804254668846,0.13368496969057847
2023,4,1,2395167,4670692,15917246,0.4439121566632821,0.15047621931582889
2023,4,40,397089,1018523,2818990,0.502169926108287,0.14086215275683844
2023,4,41,260648,485250,1461326,0.5104254629015018,0.17836403376111834
2023,4,42,234058,628586,1851472,0.4659233301934893,0.12641725070646492
2023,4,43,912841,1881732,6364554,0.43908386982025766,0.1434257608624265
2023,4,44,97020,361492,1115043,0.4112056665079284,0.0870100973684423
2023,3,1,1666266,4414456,15881041,0.38289190236332743,0.10492171136640224
2023,3,40,250676,906168,2812547,0.4113154375731321,0.08912775502062721
2023,3,41,183016,477869,1458232,0.453209777319384,0.12550540654710635
2023,3,42,173830,626137,1847548,0.43298847986628763,0.09408686540214381
